stop_id,arrivals,stop_name,stop_desc,stop_lat,stop_lon,degree_centrality
230009794,24,"Av. Interlagos, 5940",Ref.: R Professor Adib Casseb/ Av Do Rio Bonito,-23.697934,-46.700689,9.56892014736137e-05
650005664,24,"Av. S. Miguel, 1685",Ref.: R Mateus Lourenco De Carvalho/ R Vigilia,-23.512332,-46.514579,0.00014353380221042054
230009799,24,Av. Interlagos,Ref.: R Angelo Bada/ Av Engenheiro Jose Salles,-23.691395,-46.697987,0.00014353380221042054
160015530,24,"Av. Interlagos, 2760",Ref.: R Interlagos/ R Fernando De Montesinos,-23.677037,-46.681122,9.56892014736137e-05
260016858,24,Antonia De Queiros C/B,"R. Da Consolação, 1272 Ref.: R Dona Antonia De Queiros/ R Piaui",-23.54958,-46.65343,9.56892014736137e-05
820012014,24,"Av. Cde. De Frontin, 542",Ref.: R Pinhalzinho/ Vdto Engenheiro Alberto Badra,-23.535617,-46.55258,0.0001913784029472274
260016860,24,Caio Prado C/B,"R. Da Consolação, 896 Ref.: R Marques De Paranagua/ R Maria Antonia",-23.548312,-46.650406,0.00023922300368403425
260015039,24,Paulista B/C,"R. Da Consolação, 2483 Ref.: Av Paulista/ Av Reboucas",-23.555883,-46.66306,0.00014353380221042054
720015654,24,Americo Brasiliense B/C,"Av. Ver. José Diniz, 630 Ref.: R Americo Brasiliense/ R Alexandre Dumas",-23.636785,-46.69352,0.00014353380221042054
630015033,24,Escócia,"Av. Brig. Faria Lima, 2601 Ref.: Tr Ouro Preto/pc Buritama",-23.57924,-46.68548,0.0002870676044208411
160015529,24,"Av. Interlagos, 2554",Ref.: R Dezessete De Outubro/ R Doutor Joao Gualberto De Oliveira,-23.675694,-46.679175,9.56892014736137e-05
720015656,24,Bela Vista B/C,"Av. Ver. José Diniz, 1230 Ref.: R Sao Sebastiao/ R John Lane",-23.63297,-46.689805,9.56892014736137e-05
650005656,24,"Av. S. Miguel, 2963",Ref.: R Joaquim Jose Bandeira/ R Eugenio De Almeida,-23.510895,-46.502709,0.0001913784029472274
650005646,24,"Av. S. Miguel, 4035",Ref.: R Coronel Drago/ R Barra Da Figueira,-23.508362,-46.494285,0.0001913784029472274
230009798,24,"Av. Interlagos, 5937",Ref.: Av Antonio Barbosa Da Silva Sandoval/ R Joao Bertoni,-23.694796,-46.699363,0.0001913784029472274
6508824,24,"Av. S. Miguel, 3837",Ref.: Av Abdon Milanes,-23.509062,-46.49595,9.56892014736137e-05
860012123,24,"Av. Mal. Tito, 2253",Ref.: R Angelina Falbo/ R Roque Pezzo,-23.49447,-46.423842,9.56892014736137e-05
720011738,24,"Av. Adolfo Pinheiro, 1500",Ref.: R Marechal Deodoro/ Av Vereador Jose Diniz,-23.640446,-46.697364,0.00033491220515764796
160009800,24,Av. Interlagos,Ref.: R Miguel Yunes/ R Rio Paraguacu,-23.68587,-46.693194,0.00014353380221042054
650005643,24,"Av. S. Miguel, 3684",Ref.: R Frei Mariano De Bagnaia/ R Abdon Milanes,-23.509944,-46.497264,0.00014353380221042054
840000676,24,"Av. Tucuruvi, 161",Ref.: R Monte De Ouro/ R Pe. Julio Maria,-23.478186,-46.609397,0.00033491220515764796
